"TVAL - ターゲットヒートマップ"
期間:,2026年04月03日(金)～2026年04月09日(木)：期間平均
エリア:,関東
期間内最新サンプルサイズ:,"MT/M1/M2/M3-/M3+ 5,311"
視聴種別:,リアルタイム
データ区分:,視聴率
利用データ:,速報
単位:,%
レポート作成日時:,"2026年04月10日(金) 16:38"
データ提供元:,"Switch Media, Inc."

,NHK総合,,,,,,,,日本テレビ,,,,,,,,テレビ朝日,,,,,,,,TBS,,,,,,,,テレビ東京,,,,,,,,フジテレビ,,,,,,
,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日
05:00,1.094137,1.268956,1.207267,1.140604,1.188402,1.006717,0.969923,,1.293403,1.489493,1.570924,1.377144,1.531924,0.59252,0.321107,,1.226368,1.256351,1.231725,1.134575,1.256204,0.538334,0.469255,,1.107513,1.301566,1.326542,1.069273,1.210774,0.663473,0.343145,,0.196072,0.171278,0.168912,0.184672,0.171072,0.067731,0.080794,,1.336596,1.343873,1.254092,1.286131,1.116875,0.35284,0.316033,
06:00,2.820048,2.946189,2.941488,2.789869,2.683685,2.128291,1.12921,,2.838347,2.506865,2.733431,2.645133,2.444601,1.65802,1.028858,,3.252277,3.308462,3.382504,3.142841,3.055504,2.470632,2.566025,,2.104266,2.199019,2.18442,2.096706,2.089714,0.644468,1.517387,,0.753393,0.736267,0.696265,0.61076,0.713898,0.054409,0.103697,,3.054573,3.152071,3.307291,3.043516,2.99828,1.155653,0.288978,
07:00,3.919038,4.178596,4.020456,4.226379,3.898412,3.4662,2.631214,,3.512333,3.399066,3.525902,3.545038,3.262899,3.212112,3.027904,,4.868875,4.877038,4.992529,4.785327,4.708585,4.09144,3.594828,,2.148893,2.435319,2.590628,2.532685,2.266145,0.915556,3.130574,,0.279545,0.273231,0.291644,0.232438,0.305459,0.10847,0.128306,,3.740047,3.991688,3.853758,3.909426,3.789775,2.774749,0.628868,
08:00,3.475411,3.723814,3.256294,3.823047,3.552793,3.195553,1.968946,,2.876627,2.956873,2.684483,2.87855,2.828665,3.790538,5.784818,,4.981685,4.16369,4.710232,4.877186,4.739185,3.215502,0.79939,,1.312753,1.310412,1.186508,1.212178,1.158703,2.89893,6.245498,,0.428511,0.421721,0.332523,0.328969,0.29812,0.130876,0.286396,,2.322929,2.108801,2.242991,2.323422,2.191914,2.814245,1.016174,
09:00,0.97946,1.017898,1.576603,2.027676,1.869838,1.848743,1.212894,,2.438729,2.336131,1.984274,2.096124,2.070976,3.902344,5.099981,,3.439709,3.281764,2.978712,3.356944,3.577011,1.984874,0.803818,,0.919493,0.903011,0.777481,0.900645,0.884822,2.500498,6.518005,,0.259486,0.252137,0.199309,0.194234,0.182365,0.195819,0.17073,,1.522751,1.225158,1.24183,1.254841,1.364775,2.165965,0.832495,
10:00,0.805735,0.827064,1.283671,1.178026,1.044521,1.421948,1.011887,,1.705687,1.800032,1.426058,1.540196,1.332361,3.965049,4.302908,,2.406061,1.987276,1.818016,2.132313,2.116155,0.7216,0.607126,,0.765115,0.573787,0.585238,0.786839,0.630411,2.670906,5.034075,,0.140358,0.153014,0.079251,0.12246,0.143808,0.397628,0.264267,,1.250655,1.019485,0.917303,0.844614,1.068295,1.183345,0.824807,
11:00,0.748378,0.990279,0.916118,0.974086,0.900158,1.412283,1.326877,,1.295944,1.357521,1.294714,1.138924,0.848814,3.098925,4.064592,,2.447558,2.432671,2.543409,2.080571,2.114154,1.217882,0.862412,,1.05183,1.061775,0.974863,1.263971,1.010106,2.839035,4.24615,,0.170851,0.271094,0.130234,0.079609,0.157543,0.426514,0.648198,,0.985017,1.110108,0.87857,0.76418,0.875055,0.913683,0.629449,
12:00,1.912771,2.052516,2.235607,2.088908,1.731081,2.725525,2.165408,,1.629477,2.092203,1.855218,1.762125,1.623519,2.383086,4.405823,,2.279067,2.244271,2.047559,2.228019,1.984732,2.404747,1.964474,,1.828753,1.967306,1.933032,1.634202,1.806211,2.853847,3.170167,,0.527192,0.571307,0.445606,0.449845,0.348967,0.718837,0.797179,,1.154959,1.106772,0.69577,0.801344,0.806418,1.804854,1.581474,
13:00,0.834007,0.720903,1.022414,0.892426,0.790662,1.730146,0.957666,,1.504284,1.747419,1.450683,1.396476,1.175378,1.981516,3.698539,,0.939545,1.14812,0.910408,1.04126,0.930673,2.106948,0.861789,,1.865449,2.516309,2.410204,2.319809,1.903064,2.773395,1.682059,,0.634533,0.569872,0.471727,0.65339,0.414599,0.835536,2.112754,,0.810705,1.018896,0.832072,0.652081,0.760614,1.586158,2.06393,
14:00,0.342974,0.382379,0.621237,0.28114,0.506525,1.250352,1.203526,,1.575585,1.864003,1.687537,1.242545,1.134251,1.582398,1.770012,,1.040611,1.0403,0.947623,0.995403,0.603301,1.2835,0.995294,,1.614657,2.095484,1.694154,1.854271,1.625516,1.474901,1.367447,,0.700627,0.592641,0.548371,0.935979,0.618754,0.44381,1.371784,,0.332082,0.531875,0.449486,0.38189,0.518977,1.625848,2.062411,
15:00,0.255275,0.271857,0.528293,0.283057,0.386631,0.971852,1.093095,,1.429048,1.687734,1.702964,1.355772,1.109591,1.213378,1.693751,,1.169599,1.104686,1.057027,1.225525,0.930933,0.68853,1.703207,,1.593262,1.940141,1.737893,1.499523,1.443704,1.507622,1.171235,,0.517861,0.501028,0.509327,0.767875,0.527763,1.325352,1.304745,,0.305841,0.512403,0.361993,0.364891,0.376874,1.631053,2.42199,
16:00,0.34961,0.384705,0.585724,0.360602,0.323718,1.532241,1.376006,,1.571994,1.70262,1.801388,1.377111,1.180525,2.011513,1.85013,,1.734744,1.836572,1.612724,1.580085,1.545033,1.066922,2.808839,,1.606118,1.985546,1.714589,1.700516,1.3491,1.979922,0.582333,,0.313771,0.31777,0.324082,0.457252,0.313453,0.425008,0.61818,,0.812954,0.706538,0.676078,0.756772,0.618692,1.797659,1.685346,
17:00,0.570828,0.760749,0.712244,0.79832,0.64327,1.524781,1.172769,,2.312592,2.508858,2.634826,2.459869,2.185838,2.435283,3.481648,,1.957838,2.161377,1.675512,1.832431,1.630859,2.784515,3.244951,,2.070399,2.567716,1.945912,2.159082,1.922852,2.471706,0.883699,,0.557541,0.710922,0.485501,0.516505,0.151139,0.51495,0.600484,,1.199263,1.165018,0.996568,1.179495,1.194816,2.462295,2.429311,
18:00,2.637481,2.941577,2.149465,2.573947,2.653412,3.149995,3.289794,,3.889144,3.645868,3.671085,3.58066,3.263424,4.548968,5.869139,,2.309312,2.224667,2.248258,1.844153,1.883467,3.701083,3.431442,,2.741794,3.046641,2.641072,3.568256,2.764082,3.484489,3.006276,,1.745059,1.900869,1.568883,1.586262,0.182333,1.642082,0.361627,,1.592538,1.828764,1.51696,1.811203,1.919422,2.355241,3.887723,
19:00,5.962863,6.26133,5.329663,6.572154,5.399921,7.107647,7.510102,,4.207018,4.37653,3.212557,5.00848,3.039508,4.195815,4.933168,,4.611198,2.456577,3.265176,1.88287,2.458401,4.284139,3.218629,,1.875699,3.615536,3.600547,3.637555,1.994961,5.142961,5.791171,,3.071981,2.129214,1.689194,1.432408,2.215775,2.910843,1.394592,,2.657522,1.834272,2.839618,2.165112,2.990073,2.487599,3.510687,
20:00,3.878289,4.039536,3.348822,4.850176,4.403882,5.584088,7.233581,,4.186935,5.871442,3.260353,5.820779,3.490378,4.298235,3.088459,,5.731696,2.840284,4.503762,2.846967,2.82819,4.687032,4.515848,,2.846936,4.490677,3.776664,3.087156,2.599222,6.365612,6.36001,,2.490217,2.329981,1.925692,1.849083,3.143537,3.263067,1.559342,,3.18837,1.925052,3.333004,3.133172,3.140111,2.75016,3.874743,
21:00,6.101119,5.912637,6.581619,6.303894,5.760125,4.08462,4.955118,,5.157369,4.577296,3.913623,4.94171,3.429417,3.843189,3.117059,,4.333012,3.174269,3.655208,3.235019,3.569203,4.348648,5.363736,,2.27097,5.483585,3.188522,3.224663,3.004592,6.712908,4.549433,,1.89993,2.304261,1.928583,1.819289,3.140602,3.726997,2.203318,,2.58794,2.028276,2.395035,2.11297,2.189663,2.18773,3.93878,
22:00,2.580849,2.052453,2.375578,2.585694,2.579197,2.093432,2.723167,,5.476425,2.97915,2.74924,2.875659,3.870703,1.953288,2.030061,,6.536824,8.394086,7.139223,7.685216,6.970989,3.446349,3.173383,,2.024582,2.915068,3.476142,2.04808,2.283696,6.589638,2.795296,,1.641029,2.067836,2.032312,2.012384,1.46546,1.985447,1.29828,,2.350669,1.788838,1.827871,1.985434,1.80354,2.756162,5.4828,
23:00,1.121976,0.922911,1.130257,1.256577,1.247406,1.243115,1.227512,,4.708901,4.210622,3.966984,3.801747,1.888861,1.943305,2.030984,,2.555421,3.107167,3.437431,3.445411,3.168069,1.476467,3.316295,,2.522282,2.32021,2.373555,2.014009,1.962135,5.636642,1.373756,,0.634649,1.364933,0.941798,1.170053,2.528284,1.192065,0.915465,,1.350711,0.83707,1.306117,1.194902,2.092476,1.840476,2.224719,
24:00,0.97103,0.767574,1.037873,1.171545,0.928838,0.771712,0.605387,,1.74828,1.810778,2.025521,1.619591,1.554478,2.072734,1.512819,,1.12116,1.5587,1.281499,2.046051,1.370237,0.831973,1.553222,,1.495404,0.848906,1.261067,0.92676,1.68262,1.930769,0.680728,,0.400163,0.623127,0.326773,0.46505,1.949482,0.665368,0.837249,,0.949359,0.750305,1.070458,0.924706,1.219967,1.058884,1.018279,
25:00,0.644934,0.378186,0.615161,0.502183,0.620158,0.676208,0.41988,,0.561601,0.742613,0.988406,0.734727,0.788064,0.84119,0.634789,,0.519337,0.572847,0.814503,0.892902,0.70468,0.56822,0.563734,,0.46622,0.532078,0.538491,0.470903,0.706243,0.683014,0.351298,,0.357331,0.530578,0.307931,0.420735,0.807501,0.694288,0.71071,,0.555224,0.235676,0.473712,0.627948,0.570978,0.613354,0.507657,
26:00,0.540711,0.220177,0.328497,0.354664,0.479162,0.539878,0.293725,,0.34813,0.546685,0.64537,0.459527,0.41685,0.354222,0.544725,,0.370084,0.390976,0.424974,0.555018,0.436035,0.494638,0.339327,,0.256634,0.288571,0.280592,0.178515,0.252649,0.314506,0.178862,,0.244478,0.403068,0.126458,0.259774,0.424239,0.434837,0.272093,,0.26981,0.18723,0.238376,0.337275,0.354057,0.588275,0.229476,
27:00,0.412246,0.228404,0.278312,0.465228,0.310458,0.374922,0.2926,,0.249,0.340504,0.489573,0.245411,0.265598,0.199699,0.085552,,0.275377,0.242374,0.287528,0.26028,0.290943,0.29493,0.153565,,0.235286,0.236319,0.280068,0.234885,0.178541,0.29383,0.257898,,0.069204,0.236058,0.116443,0.162215,0.211214,0.222811,0.130907,,0.287485,0.113815,0.143101,0.227104,0.18808,0.400557,0.254229,
28:00,0.485815,0.230299,0.304023,0.417123,0.445738,0.395837,0.316784,,0.537263,0.658414,0.585039,0.634578,0.214315,0.21069,0.373579,,0.446912,0.403907,0.419392,0.584934,0.293274,0.154066,0.53735,,0.866049,0.793872,0.904675,0.422514,0.50208,0.609479,0.724101,,0.019974,0.051594,0.035245,0.039866,0.090054,0.121704,0.088924,,0.213787,0.15228,0.106333,0.261693,0.127262,0.204559,0.227378,
