TVAL - ターゲットヒートマップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期間:,2025年01月01日(水)～2025年12月31日(水)：期間平均,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
エリア:,関東,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期間内最新サンプルサイズ:,"個人全体 12,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
視聴種別:,リアルタイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
データ区分:,視聴率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利用データ:,確報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
単位:,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レポート作成日時:,2026年03月31日(火) 13:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
データ提供元:,"Switch Media, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NHK総合,,,,,,,,日本テレビ,,,,,,,,テレビ朝日,,,,,,,,TBS,,,,,,,,テレビ東京,,,,,,,,フジテレビ,,,,,,
,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日
5:00,0.828137,0.860687,0.857218,0.889373,0.878001,0.811722,0.922358,,1.136941,1.223473,1.227383,1.205881,1.244339,0.681817,0.30575,,0.94944,1.016046,0.990007,0.979507,1.019932,0.609503,0.364255,,1.001052,1.034734,1.056004,1.047134,1.023529,0.563399,0.380073,,0.104029,0.110933,0.118666,0.121445,0.120034,0.07627,0.140777,,1.257115,1.332982,1.331913,1.330208,1.299331,0.35582,0.360952
6:00,2.144183,2.288986,2.318481,2.311948,2.317006,1.803713,1.114914,,2.886755,3.040229,3.031444,3.08347,3.072451,2.117052,1.189784,,2.700282,2.858749,2.793966,2.756115,2.831454,2.032392,2.269804,,1.813934,1.859237,1.91194,1.891614,1.775162,0.651634,1.472217,,0.389834,0.430781,0.464789,0.45758,0.480934,0.122172,0.156363,,3.349373,3.492586,3.515044,3.565934,3.479561,1.441128,0.585885
7:00,3.651169,3.782154,3.910161,3.851066,3.850357,3.367814,2.36239,,4.304992,4.368142,4.439114,4.484989,4.614184,3.642513,3.056521,,4.369171,4.51156,4.442846,4.36727,4.441005,3.599169,3.343219,,2.281072,2.367864,2.432194,2.36141,2.194022,1.266103,3.381341,,0.245748,0.274581,0.309273,0.26377,0.278504,0.15617,0.293261,,4.78796,4.996001,5.016152,4.982532,4.985884,3.002136,1.118826
8:00,4.480434,4.622402,4.573438,4.536307,4.708208,3.284622,1.90079,,3.629602,3.592126,3.593508,3.697177,3.728164,4.03269,5.852559,,4.719834,4.651039,4.712279,4.605184,4.595482,3.182863,2.267102,,1.758372,1.673428,1.681594,1.583115,1.562949,3.298201,4.974038,,0.597752,0.648671,0.709874,0.608209,0.576338,0.221586,0.592821,,2.872774,2.886752,2.904362,2.887843,2.864981,2.947165,1.419425
9:00,1.883412,2.28711,2.206172,2.167942,2.138785,2.334691,1.221952,,2.85974,2.724659,2.749296,2.816175,2.839031,4.023961,6.280886,,3.918042,3.616331,3.649495,3.52064,3.562084,2.294626,1.236724,,1.52126,1.311763,1.289378,1.192797,1.166674,2.97934,5.743816,,0.297507,0.345696,0.408512,0.302667,0.286117,0.233046,0.316347,,1.851192,1.715672,1.729757,1.686362,1.728602,2.255859,0.769077
10:00,1.084372,1.20806,1.227185,1.277597,1.071481,2.112124,1.06064,,2.368649,2.194541,2.2374,2.316696,2.104599,3.741505,4.580133,,2.254667,2.145025,2.101301,1.902086,2.084285,0.884897,0.781736,,1.063325,0.938849,0.988029,0.856619,0.902749,2.907193,4.674762,,0.167901,0.191754,0.291391,0.17322,0.173014,0.190657,0.224337,,1.423265,1.321666,1.35395,1.353792,1.40214,1.432387,1.504839
11:00,1.004141,1.130823,1.13033,1.174383,1.007011,2.129744,1.236286,,1.838897,1.757546,1.760851,1.820329,1.572058,2.889415,4.078388,,2.338141,2.139409,2.166141,2.023531,2.293891,1.055798,1.141773,,1.534665,1.386891,1.412885,1.282132,1.397033,2.748627,3.529328,,0.150455,0.1653,0.258701,0.160252,0.16211,0.439711,0.656091,,1.068477,0.988915,1.028373,0.972035,1.051128,1.180718,1.331856
12:00,2.246223,2.271036,2.237823,2.190116,2.105136,3.059662,2.280674,,2.565624,2.565139,2.318042,2.5453,2.535417,2.162509,4.486494,,2.142212,1.87856,1.941817,1.847138,1.978899,1.779342,2.230223,,2.228646,2.09087,2.088988,1.963305,2.052496,2.978309,2.778629,,0.507432,0.564736,0.669091,0.529297,0.546192,0.706768,0.807754,,1.144958,1.008801,1.078694,1.000559,1.049958,1.89301,1.998409
13:00,1.04868,1.187626,1.045303,1.063872,1.037333,1.874613,1.353461,,2.355596,2.260564,2.072006,2.241786,2.253853,2.03644,3.66356,,1.477237,1.377063,1.366234,1.289912,1.330939,1.67348,1.089002,,2.49483,2.329627,2.385221,2.229272,2.299409,2.791985,1.801628,,0.61486,0.717182,0.77624,0.658245,0.665603,0.832524,2.180296,,1.102976,0.907328,0.958198,0.914958,0.954307,1.697017,2.445765
