"TVAL - ターゲットヒートマップ"
期間:,2026年03月01日(日)～2026年03月31日(火)：期間平均
エリア:,関東
期間内最新サンプルサイズ:,"F2/M2 2,607"
視聴種別:,リアルタイム
データ区分:,視聴率
利用データ:,確報
単位:,%
レポート作成日時:,"2026年04月30日(木) 11:59"
データ提供元:,"Switch Media, Inc."

,NHK総合,,,,,,,,日本テレビ,,,,,,,,テレビ朝日,,,,,,,,TBS,,,,,,,,テレビ東京,,,,,,,,フジテレビ,,,,,,
,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日
05:00,0.31288,0.3172,0.315217,0.358541,0.236114,0.20112,0.335507,,1.026793,1.08769,1.07098,0.918912,0.885412,0.384797,0.17543,,0.601026,0.625794,0.496714,0.552767,0.5629,0.270777,0.193509,,0.740685,0.68076,0.706274,0.872129,0.624462,0.291048,0.24486,,0.09379,0.066048,0.081795,0.082193,0.051312,0.033773,0.041185,,1.117093,1.113796,1.052504,1.052164,0.831892,0.220151,0.263175,
06:00,1.263288,1.356356,1.292371,1.242195,0.928429,0.537868,0.257813,,2.977768,3.07157,3.088011,3.03211,2.662729,1.429918,0.566313,,1.589678,1.61911,1.550148,1.572534,1.446976,0.859533,1.201051,,1.541795,1.476758,1.461495,1.633889,1.234637,0.706341,0.894938,,0.538184,0.536059,0.505085,0.52271,0.397856,0.106956,0.086403,,3.433667,3.504264,3.426085,3.395248,2.834189,0.957755,0.380273,
07:00,2.162088,2.24294,2.222367,2.187256,1.717685,1.255867,0.729314,,5.424993,5.024902,5.066801,5.259046,4.578115,2.988868,1.935209,,2.582968,2.530874,2.708574,2.484406,2.265718,1.594616,2.104717,,2.115376,2.085033,1.963449,2.194119,1.822234,1.344824,1.831991,,0.345407,0.384223,0.352653,0.368046,0.289885,0.300412,0.574348,,5.615095,5.483809,5.403972,5.301456,4.983317,2.29089,0.834114,
08:00,2.21312,2.331906,2.388276,2.019579,1.946961,1.411089,0.513678,,3.590883,3.474173,3.498294,3.574553,3.577035,3.255074,5.102074,,2.138323,2.275026,2.294122,2.051644,2.371005,1.756074,2.163621,,2.290558,2.124473,2.222249,2.30906,2.156066,2.798992,2.339027,,0.33339,0.3214,0.403666,0.490606,0.339641,0.276542,0.953283,,3.107959,3.025791,2.798332,2.728311,2.977134,2.646329,1.049001,
09:00,0.838723,1.070336,1.053687,0.91451,1.081573,0.991197,0.468418,,2.291011,2.256008,2.222344,2.191945,2.513635,3.335822,5.929174,,1.547993,1.487494,1.560966,1.420355,1.602382,1.281713,1.518403,,1.884636,1.722408,1.691428,1.793007,1.831643,2.693684,2.563637,,0.178868,0.162712,0.209252,0.209196,0.214072,0.389123,0.426907,,1.606849,1.540752,1.311415,1.388392,1.62362,2.222435,0.637085,
10:00,0.523412,0.690309,0.53323,0.636548,0.769456,1.011367,0.481788,,1.85172,1.895859,1.67687,1.832785,2.087624,2.712655,4.104323,,0.913028,0.828595,0.8372,0.872234,0.94941,0.523976,0.736796,,0.969106,0.856038,0.806726,0.892262,0.958319,2.888473,2.641903,,0.140613,0.110207,0.149857,0.109938,0.11678,0.284213,0.184897,,1.144869,1.208108,1.178882,1.177158,1.405367,1.307215,1.52051,
11:00,0.498085,0.649767,0.524466,0.688523,0.833875,0.812865,0.73401,,1.52985,1.582888,1.354308,1.397922,1.639449,2.196015,3.448249,,0.83631,0.710625,0.724892,0.722245,1.059319,0.719003,0.802326,,0.871273,0.864803,0.93105,0.834953,0.982652,2.588537,2.097308,,0.095648,0.088059,0.108292,0.077949,0.093243,0.395964,0.391693,,0.806339,0.934819,0.881528,0.785396,1.001596,0.919917,1.277096,
12:00,0.773676,0.81624,0.789011,0.833166,0.834599,1.153306,1.017424,,2.003188,2.154813,2.132582,2.259836,2.330373,1.596945,3.907643,,0.713137,0.720623,0.763595,0.66129,1.002307,0.842081,1.0262,,1.061069,1.118541,1.229711,0.905434,1.209383,3.182321,1.720046,,0.24473,0.238822,0.241192,0.214063,0.220998,0.405921,0.548305,,0.785896,0.929232,0.874085,0.828131,1.036639,1.549843,1.549429,
13:00,0.429236,0.616941,0.491885,0.471816,0.810552,0.844308,0.819914,,1.656649,2.041956,1.960008,1.811235,1.959801,1.390333,3.542062,,0.410141,0.409747,0.40629,0.364728,0.48872,0.762001,0.626614,,1.154855,1.164234,1.174848,0.924777,1.219087,3.001545,1.246371,,0.25191,0.271339,0.346505,0.28162,0.267422,0.296933,0.734898,,0.747103,0.68477,0.660412,0.547566,0.940857,1.294372,1.709644,
14:00,0.299617,0.516707,0.404444,0.382122,0.757268,0.787154,0.712475,,1.283878,1.551622,1.61379,1.280975,1.421843,1.574548,2.156177,,0.616235,0.578102,0.638687,0.519364,0.420307,0.693511,0.776961,,0.950376,0.930403,1.08727,0.874922,1.020371,1.560451,0.860646,,0.292861,0.294421,0.297139,0.224086,0.32394,0.160541,0.809137,,0.371735,0.329969,0.387339,0.281473,0.64483,0.710818,1.843753,
15:00,0.261241,0.357123,0.326071,0.342542,0.712232,0.611163,0.723833,,1.163803,1.311428,1.390682,1.182983,1.230536,1.181178,1.550126,,0.827296,0.787296,0.898158,0.698144,0.711286,0.77514,0.94636,,0.951103,1.015602,0.996448,0.811251,1.078815,1.19566,0.925914,,0.287138,0.257398,0.329491,0.194947,0.303877,0.482759,0.83511,,0.326547,0.34014,0.435339,0.283638,0.459455,0.858602,1.381961,
16:00,0.225162,0.39633,0.321633,0.40976,0.54846,0.655979,0.760945,,1.280767,1.409162,1.521075,1.411764,1.338502,1.503179,1.832585,,0.95942,1.000499,1.077617,1.010613,1.058484,1.184533,1.292697,,1.008279,1.179117,1.040072,0.984233,1.135337,1.351891,0.726009,,0.147697,0.1861,0.189294,0.125899,0.183382,0.242719,0.405093,,0.470247,0.519703,0.524128,0.474028,0.552987,0.916497,0.915673,
17:00,0.362829,0.496535,0.54678,0.602813,0.821979,0.935625,1.171285,,1.90545,2.176268,2.155165,2.043003,2.104918,1.703756,2.658274,,0.974245,0.88756,0.919434,0.932685,1.070208,1.988249,1.792347,,1.484483,1.401134,1.544925,1.314259,1.422935,1.377603,0.893406,,0.2404,0.259961,0.242863,0.21263,0.163431,0.276822,0.482463,,0.787837,0.75934,0.820518,0.775509,0.885919,1.399388,1.743478,
18:00,0.881542,1.063786,0.979627,0.867302,1.107957,1.222508,1.605539,,3.328772,3.642685,3.433616,3.448662,3.286039,4.171934,3.481032,,1.311859,1.282252,1.132907,1.203738,1.505705,2.127074,2.937301,,2.451071,2.145859,2.194266,2.113277,2.471265,1.773751,1.652958,,1.051932,1.028322,0.883913,1.009416,0.747054,0.881137,0.486068,,1.436652,1.55005,1.822532,1.39429,1.703218,1.667155,5.595623,
19:00,2.216969,2.310287,2.328243,1.961756,2.430898,2.623781,3.135832,,4.821827,5.451675,4.085942,4.335821,3.188885,3.636121,5.771103,,2.537991,2.041464,2.358507,2.114582,3.322368,3.336571,2.263217,,3.645737,2.873879,3.765871,2.454779,3.211624,2.843481,4.317875,,1.702605,1.516609,1.556407,1.577796,1.488081,2.237096,1.686294,,2.305567,2.149277,2.673529,3.106809,2.28352,3.352412,3.628742,
20:00,1.650764,1.557799,1.807635,1.602886,2.144695,1.955084,3.59733,,4.878164,4.705434,4.280279,5.010044,3.30881,3.328039,6.825379,,3.524845,2.697374,3.042611,2.725681,3.481636,4.159955,2.161614,,4.557143,4.338854,4.496289,2.750253,4.239993,3.344179,5.046776,,1.524263,1.976524,1.680842,1.744616,1.714083,2.619887,1.779419,,2.8526,2.45524,2.884535,3.797416,2.389242,4.286812,3.234815,
21:00,3.33964,3.109939,3.169401,3.343264,2.871601,2.329723,1.400563,,4.230254,4.28849,4.074966,4.53019,4.443394,2.532105,5.362181,,3.662159,2.578957,3.261086,2.846887,3.819518,3.808347,3.43041,,3.761672,5.695867,4.228122,2.66048,3.046981,3.33918,5.392523,,1.373609,1.263464,1.418322,1.305724,1.381677,3.135019,2.2291,,2.160766,1.404811,2.612118,2.919357,2.053308,3.719535,2.378212,
22:00,1.375744,1.166607,1.297989,1.380506,1.274629,1.326611,1.013839,,4.592987,3.388574,1.78888,2.992762,4.5901,2.387656,2.533191,,4.96355,5.026535,5.174334,5.476008,5.60458,2.398465,1.922324,,2.470009,2.8224,4.340717,2.651429,1.741072,4.629869,3.61767,,1.286499,1.42166,1.659707,1.393616,0.957081,1.230504,2.234651,,1.411185,2.092942,1.4558,1.790202,1.845213,3.706711,3.476791,
23:00,0.708371,0.734094,0.608445,0.620389,0.801958,0.910055,0.716452,,4.350873,3.811457,3.075916,3.403533,2.976751,2.028641,1.788342,,2.31218,2.63695,2.543831,3.466217,2.966471,1.049248,1.818453,,1.627193,1.618983,2.083597,1.754777,2.00455,4.198438,1.863649,,0.56059,1.015859,1.153382,0.823178,1.682149,0.54801,1.187209,,0.857407,0.851777,1.115138,1.089882,1.883653,2.419506,2.037548,
