"TVAL - ターゲットヒートマップ"
期間:,2026年03月01日(日)～2026年03月31日(火)：期間平均
エリア:,関東
期間内最新サンプルサイズ:,"個人全体 11,736"
視聴種別:,リアルタイム
データ区分:,視聴率
利用データ:,確報
単位:,%
レポート作成日時:,"2026年04月28日(火) 22:50"
データ提供元:,"Switch Media, Inc."

,NHK総合,,,,,,,,日本テレビ,,,,,,,,テレビ朝日,,,,,,,,TBS,,,,,,,,テレビ東京,,,,,,,,フジテレビ,,,,,,
,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日,,月,火,水,木,金,土,日
05:00,0.812995,0.834156,0.853357,0.940966,0.686041,0.806177,0.972092,,1.267536,1.309361,1.234345,1.158925,1.130415,0.544652,0.218682,,0.956205,0.962729,0.936415,0.932507,0.970842,0.541403,0.390895,,1.145313,1.066333,1.124605,1.121235,1.000564,0.532158,0.344611,,0.129715,0.111507,0.130735,0.10347,0.092876,0.073204,0.111751,,1.260173,1.204253,1.208944,1.203062,1.006884,0.299973,0.295507,
06:00,2.396101,2.387121,2.389754,2.275249,1.917399,1.741799,1.030316,,2.865282,2.949145,2.891809,2.926364,2.703258,2.038644,1.187595,,2.78343,2.799321,2.812383,2.786396,2.647237,2.106043,2.356839,,1.924146,1.87462,1.909043,1.954364,1.639944,0.638122,1.468047,,0.534451,0.542508,0.515266,0.473315,0.392957,0.133087,0.091916,,3.434908,3.295796,3.322642,3.289011,2.861839,1.241676,0.456703,
07:00,3.997125,4.050329,3.952584,3.982278,3.543724,3.302543,2.345521,,4.483684,4.485645,4.547748,4.568203,4.20759,3.608427,2.988502,,4.496674,4.601269,4.542344,4.45453,4.324657,3.764444,3.619999,,2.381646,2.337984,2.319418,2.384015,2.103026,1.15708,3.274967,,0.28897,0.296617,0.307914,0.295432,0.243787,0.215867,0.332558,,4.806799,4.68799,4.740223,4.648644,4.406537,2.788763,1.109913,
08:00,4.379024,4.78071,4.674372,3.989023,4.289389,3.278921,1.470008,,3.629961,3.595598,3.620739,3.669781,3.831336,4.14277,6.172817,,4.701245,4.563224,4.608366,4.687296,4.744858,3.157468,2.313223,,1.627194,1.56405,1.653559,1.629911,1.517438,3.275017,4.905159,,0.510837,0.535812,0.599792,0.545771,0.502908,0.229329,0.538775,,2.915154,2.723125,2.774055,2.839103,2.901278,2.689897,1.26208,
09:00,1.616249,2.176072,2.04622,1.629686,2.207617,1.970158,1.082771,,2.764488,2.823327,2.694758,2.761595,2.948883,4.351,6.287773,,3.775997,3.509388,3.470692,3.664479,3.670389,2.195457,1.092469,,1.235263,1.190116,1.222459,1.201927,1.309396,3.016724,5.59854,,0.248235,0.247042,0.286237,0.249562,0.240397,0.232379,0.300455,,1.713969,1.637504,1.573685,1.769276,1.926782,2.037243,0.599668,
10:00,1.06723,1.294444,1.037161,1.212881,1.5387,1.846627,0.972215,,2.081275,2.167793,2.009292,2.064504,2.002244,4.011547,4.436265,,2.265239,2.165873,2.091829,2.048602,2.144994,0.843855,0.654508,,0.833611,0.8098,0.837226,0.811259,0.939029,2.741607,4.434346,,0.160994,0.173732,0.187213,0.149457,0.150437,0.215189,0.22026,,1.264957,1.333313,1.255487,1.391885,1.492416,1.25284,1.535391,
11:00,0.922237,1.092364,0.880112,1.287063,1.406432,1.834403,1.301053,,1.644346,1.75567,1.637282,1.593712,1.391686,3.248211,3.970381,,2.345283,2.154119,2.257347,2.113214,2.555858,1.202984,1.038758,,1.272826,1.280434,1.338038,1.279451,1.443312,2.559528,3.308488,,0.146354,0.17799,0.159906,0.168197,0.142057,0.420852,0.516167,,0.946915,1.034016,0.943453,0.99547,1.048335,0.937112,1.431242,
12:00,2.091668,2.172862,2.041466,2.136071,2.161141,2.982487,2.332661,,2.264373,2.432513,2.398136,2.450227,2.404604,2.234087,3.902561,,2.19269,2.040099,2.132064,2.033764,2.350682,1.872031,2.061443,,1.870488,1.931805,1.895786,1.807827,1.917844,2.832112,2.689206,,0.50736,0.508155,0.546159,0.538415,0.497514,0.497188,0.694183,,0.949895,1.049834,1.026199,1.116416,1.132142,1.760026,1.885307,
13:00,0.835769,1.186275,0.932583,0.961928,1.396885,2.066693,1.452534,,1.987054,2.210116,2.174956,2.01353,2.169738,2.012624,3.682172,,1.375318,1.528341,1.349865,1.27876,1.529732,1.48162,0.931861,,2.32027,2.071373,2.296644,2.215118,2.250484,2.535292,1.573173,,0.623679,0.63333,0.614621,0.706262,0.619349,0.572265,2.058957,,0.89139,0.861231,0.876074,0.927986,1.120337,1.4549,2.105841,
14:00,0.599813,1.022332,0.673937,0.690294,1.133285,1.653915,1.466578,,2.016416,2.271791,2.114573,1.910707,2.020371,1.909463,2.025968,,1.130163,1.076942,1.149076,1.055187,0.951887,1.191161,1.228308,,1.941648,1.923675,2.083393,2.007925,2.154243,1.494452,1.104255,,0.539819,0.650347,0.511051,0.679886,0.621612,0.379637,1.57636,,0.438613,0.466384,0.500427,0.462121,0.686681,0.799939,2.246525,
15:00,0.532211,0.761885,0.671859,0.753986,1.201551,1.337983,1.522099,,1.799509,1.973846,2.003988,1.832989,1.911716,1.427626,1.682582,,1.437667,1.453154,1.533326,1.326885,1.347619,1.031228,1.632032,,1.838802,1.980988,1.921006,1.908607,2.057337,1.379435,1.113805,,0.515852,0.587476,0.508025,0.553955,0.58281,0.819613,1.611862,,0.399686,0.456072,0.523541,0.45593,0.487607,1.042002,1.760062,
16:00,0.515581,1.000777,1.036837,0.98528,1.33805,1.835986,1.766077,,1.871948,2.024487,2.120294,1.966098,1.967484,1.891785,2.06477,,1.854001,1.944124,1.971808,1.819211,1.877824,1.039224,2.535663,,1.93798,2.021118,1.836949,1.932569,2.041663,1.601456,0.927574,,0.238735,0.356403,0.335053,0.367682,0.349487,0.465153,0.593729,,0.681854,0.749241,0.773323,0.754576,0.755028,1.197724,0.986726,
17:00,1.558232,1.657851,1.872697,2.032811,2.37697,2.661921,2.750588,,2.839273,3.040575,2.926734,2.841848,2.950749,2.556014,3.40819,,1.964115,1.889098,1.892397,1.773735,1.995362,2.547205,3.434904,,2.506815,2.471293,2.379407,2.415135,2.530611,1.903629,0.932187,,0.393758,0.494354,0.451977,0.477846,0.177857,0.471752,0.496931,,1.093027,1.295676,1.252247,1.192909,1.242694,1.898149,1.680736,
18:00,2.853605,2.888256,2.930466,2.936455,2.899419,2.927224,3.361761,,4.411709,4.673583,4.343076,4.438363,4.429545,4.577769,5.373083,,2.591889,2.575547,2.576672,2.334684,3.004452,3.861899,3.901106,,3.470819,3.130868,3.20008,3.368096,3.672769,2.89622,2.6439,,1.708636,1.646466,1.587674,1.535929,0.455181,1.524767,0.606731,,1.912046,2.182966,2.201734,1.942419,2.442091,1.940181,4.172757,
