TVAL - フリークエンシー
,"■伊右衛門F1","■伊右衛門F2","■伊右衛門M1","■伊右衛門M2"
商品／ブランド:,"伊右衛門","伊右衛門","伊右衛門","伊右衛門"
CM素材:,すべて,すべて,すべて,すべて
企業:,サントリーホールディングス,サントリーホールディングス,サントリーホールディングス,サントリーホールディングス
ターゲット:,F1,F20s,M1,M2
エリア:,関東,関東,関東,関東
期間:,2026年3月1日〜2026年3月31日,2026年3月1日〜2026年3月31日,2026年3月1日〜2026年3月31日,2026年3月1日〜2026年3月31日
有効接触回数:,1回以上,1回以上,1回以上,1回以上
CM種別:,タイム＋スポット,タイム＋スポット,タイム＋スポット,タイム＋スポット
出稿費用:,─,─,─,─

レポート作成日時:,2026年4月29日(水) 00:40
データ提供元:,"Switch Media, Inc."

■割合
,"伊右衛門F1",,"伊右衛門F2",,"伊右衛門M1",,"伊右衛門M2",
フリークエンシー,割合（％）,人数（人）,割合（％）,人数（人）,割合（％）,人数（人）,割合（％）,人数（人）
0回,13.755242,398763,14.077699,265843,15.999222,465202,15.445099,547842
1〜3回,27.616358,800596,30.018489,566868,33.480419,973494,29.677256,1052660
4〜6回,15.299468,443530,13.624395,257282,15.624708,454312,16.355793,580144
7〜9回,11.420508,331080,10.768424,203350,8.642904,251306,9.569802,339443
10回以上,31.908424,925022,31.510992,595052,26.252747,763338,28.952051,1026937

■ヒストグラム
,"伊右衛門F1",,"伊右衛門F2",,"伊右衛門M1",,"伊右衛門M2",
フリークエンシー,割合（％）,人数（人）,割合（％）,人数（人）,割合（％）,人数（人）,割合（％）,人数（人）
0回,13.755242,398763,14.077699,265843,15.999222,465202,15.445099,547842
1〜3回,27.616358,800596,30.018489,566868,33.480419,973494,29.677256,1052660
4〜6回,15.299468,443530,13.624395,257282,15.624708,454312,16.355793,580144
7〜9回,11.420508,331080,10.768424,203350,8.642904,251306,9.569802,339443
10〜12回,8.602260,249379,9.134039,172487,7.304371,212386,6.690197,237303
13〜15回,5.801168,168175,5.486764,103612,5.393402,156821,5.835255,206978
16回以上,17.504996,507468,16.890190,318954,13.554974,394131,16.426599,582656

■1回区分
,"伊右衛門F1",,"伊右衛門F2",,"伊右衛門M1",,"伊右衛門M2",
フリークエンシー,割合（％）,人数（人）,割合（％）,人数（人）,割合（％）,人数（人）,割合（％）,人数（人）
0回,13.755242,398763,14.077699,265843,15.999222,465202,15.445099,547842
1回,13.165027,381653,14.250555,269107,11.918596,346551,10.944361,388199
2回,7.160820,207592,7.810021,147484,14.324793,416515,11.021568,390938
3回,7.290511,211351,7.957912,150277,7.237030,210428,7.711327,273523
4回,6.428600,186365,5.273896,99592,4.108178,119452,6.245172,221518
5回,5.263781,152597,5.486656,103610,5.287539,153743,5.264702,186740
6回,3.607087,104569,2.863843,54081,6.228990,181117,4.845918,171886
7回,3.569334,103475,3.352178,63302,2.506658,72885,3.900595,138355
8回,4.290113,124370,4.322686,81629,3.390103,98572,3.317148,117660
9回,3.561061,103235,3.093560,58419,2.746144,79848,2.352059,83428
10回,2.458586,71274,2.572342,48576,2.275222,66156,2.564169,90952
11回,3.583179,103876,3.857726,72849,3.218824,93592,2.106317,74712
12回,2.560495,74229,2.703971,51062,1.810325,52638,2.019711,71640
13回,1.670808,48437,1.575130,29745,1.703513,49532,1.837762,65186
14回,3.010543,87275,3.065779,57894,2.317959,67398,2.518175,89320
15回,1.119816,32463,0.845855,15973,1.371930,39891,1.479317,52472
16回,1.146618,33240,1.287452,24312,1.414857,41139,1.533571,54396
17回,1.200396,34799,0.996946,18826,2.022053,58794,1.761371,62476
18回,2.008749,58233,1.175438,22197,0.511737,14880,1.212140,42995
19回,2.067425,59934,2.447475,46218,0.865361,25162,0.938001,33271
20回,1.222831,35450,1.585475,29940,1.601205,46557,0.989917,35113
21回,0.337709,9790,0.333673,6301,1.367373,39758,0.549824,19502
22回,0.502023,14554,0.364390,6881,0.470325,13675,1.575737,55892
23回,0.968228,28069,1.005270,18983,0.137876,4009,0.655290,23243
24回,0.698051,20236,0.702647,13269,0.443687,12901,0.503652,17865
25回,0.705850,20463,0.857827,16199,0.529518,15397,0.399665,14176
26回,0.240349,6968,0.368974,6968,0.321590,9351,0.457501,16228
27回,0.294126,8527,0.225766,4263,0.454366,13211,0.877959,31141
28回,0.722362,20941,0.632062,11936,0.279172,8117,0.179282,6359
29回,0.978156,28357,0.997357,18834,0.329029,9567,0.619637,21979
30回,0.428063,12410,0.364884,6890,0.000000,0,0.414294,14695
31回,0.330970,9595,0.364884,6890,0.305811,8892,0.231199,8201
32回,0.604765,17532,0.406296,7672,0.372822,10840,0.263580,9349
