TVAL - エフェクティブリーチ
,"■伊右衛門F1","■伊右衛門F2","■伊右衛門M1","■伊右衛門M2"
商品／ブランド:,"伊右衛門","伊右衛門","伊右衛門","伊右衛門"
CM素材:,すべて,すべて,すべて,すべて
企業:,サントリーホールディングス,サントリーホールディングス,サントリーホールディングス,サントリーホールディングス
ターゲット:,F1,F20s,M1,M2
エリア:,関東,関東,関東,関東
期間:,2026年3月1日〜2026年3月31日,2026年3月1日〜2026年3月31日,2026年3月1日〜2026年3月31日,2026年3月1日〜2026年3月31日
有効接触回数:,1回以上,1回以上,1回以上,1回以上
CM種別:,タイム＋スポット,タイム＋スポット,タイム＋スポット,タイム＋スポット
出稿費用:,─,─,─,─

レポート作成日時:,2026年4月29日(水) 00:40
データ提供元:,"Switch Media, Inc."

,累計GRP（個人）,,,,,エフェクティブリーチ人数（人）,,,,,エフェクティブリーチ率（%）,,,,,CPE（円）,,,,
日付,"伊右衛門F1","伊右衛門F2","伊右衛門M1","伊右衛門M2",─,"伊右衛門F1","伊右衛門F2","伊右衛門M1","伊右衛門M2",─,"伊右衛門F1","伊右衛門F2","伊右衛門M1","伊右衛門M2",─,"伊右衛門F1","伊右衛門F2","伊右衛門M1","伊右衛門M2",─
1日目,"0.000000","0.000000","0.000000","0.000000",,"0","0","0","0",,"0.000000","0.000000","0.000000","0.000000",,─,─,─,─,
2日目,"54.825806","54.825806","54.825806","54.825806",,"726,568","457,955","649,489","856,355",,"25.062776","24.251018","22.337254","24.142893",,─,─,─,─,
3日目,"115.605431","115.605431","115.605431","115.605431",,"1,219,903","775,205","1,111,891","1,516,890",,"42.080265","41.050967","38.240177","42.765105",,─,─,─,─,
4日目,"179.838408","179.838408","179.838408","179.838408",,"1,445,268","924,218","1,333,007","1,769,587",,"49.854183","48.941991","45.844789","49.889300",,─,─,─,─,
5日目,"230.034863","230.034863","230.034863","230.034863",,"1,595,180","1,006,022","1,475,049","1,932,207",,"55.025329","53.273893","50.729922","54.473994",,─,─,─,─,
6日目,"264.605608","264.605608","264.605608","264.605608",,"1,672,504","1,053,948","1,555,773","2,021,852",,"57.692621","55.811821","53.506193","57.001323",,─,─,─,─,
7日目,"328.982595","328.982595","328.982595","328.982595",,"1,806,859","1,127,332","1,687,650","2,260,242",,"62.327157","59.697852","58.041681","63.722154",,─,─,─,─,
8日目,"418.655163","418.655163","418.655163","418.655163",,"1,935,955","1,220,483","1,846,587","2,433,478",,"66.780301","64.630694","63.507848","68.606132",,─,─,─,─,
9日目,"459.436712","459.436712","459.436712","459.436712",,"1,987,556","1,257,961","1,894,751","2,475,986",,"68.560244","66.615311","65.164310","69.804542",,─,─,─,─,
10日目,"499.620112","499.620112","499.620112","499.620112",,"2,044,519","1,304,547","1,935,423","2,504,651",,"70.525178","69.082298","66.563118","70.612669",,─,─,─,─,
11日目,"560.184559","560.184559","560.184559","560.184559",,"2,086,011","1,332,848","1,974,912","2,564,364",,"71.956455","70.580981","67.921209","72.296143",,─,─,─,─,
12日目,"595.313007","595.313007","595.313007","595.313007",,"2,126,063","1,359,201","2,023,316","2,587,727",,"73.338040","71.976486","69.585924","72.954811",,─,─,─,─,
13日目,"624.370487","624.370487","624.370487","624.370487",,"2,145,330","1,378,468","2,045,497","2,630,979",,"74.002645","72.996761","70.348786","74.174191",,─,─,─,─,
14日目,"641.545186","641.545186","641.545186","641.545186",,"2,162,713","1,392,441","2,068,952","2,656,995",,"74.602256","73.736730","71.155441","74.907671",,─,─,─,─,
15日目,"665.834066","665.834066","665.834066","665.834066",,"2,188,194","1,414,513","2,100,513","2,697,948",,"75.481228","74.905563","72.240898","76.062232",,─,─,─,─,
16日目,"685.862908","685.862908","685.862908","685.862908",,"2,211,207","1,428,850","2,112,266","2,725,777",,"76.275044","75.664772","72.645079","76.846803",,─,─,─,─,
17日目,"716.156870","716.156870","716.156870","716.156870",,"2,229,267","1,446,910","2,116,374","2,749,957",,"76.898012","76.621129","72.786375","77.528490",,─,─,─,─,
18日目,"733.368963","733.368963","733.368963","733.368963",,"2,242,358","1,449,614","2,120,383","2,758,332",,"77.349606","76.764337","72.924251","77.764615",,─,─,─,─,
19日目,"767.584478","767.584478","767.584478","767.584478",,"2,266,452","1,466,809","2,136,194","2,768,201",,"78.180699","77.674902","73.468022","78.042835",,─,─,─,─,
20日目,"794.545891","794.545891","794.545891","794.545891",,"2,297,225","1,483,647","2,171,864","2,801,703",,"79.242213","78.566549","74.694775","78.987348",,─,─,─,─,
21日目,"809.817253","809.817253","809.817253","809.817253",,"2,323,989","1,502,738","2,188,487","2,806,861",,"80.165416","79.577519","75.266485","79.132786",,─,─,─,─,
22日目,"832.311402","832.311402","832.311402","832.311402",,"2,337,934","1,506,227","2,227,999","2,845,170",,"80.646476","79.762284","76.625389","80.212798",,─,─,─,─,
23日目,"886.759285","886.759285","886.759285","886.759285",,"2,364,573","1,523,093","2,258,885","2,863,876",,"81.565366","80.655395","77.687628","80.740185",,─,─,─,─,
24日目,"932.048530","932.048530","932.048530","932.048530",,"2,386,886","1,541,142","2,262,530","2,883,609",,"82.335035","81.611196","77.812965","81.296490",,─,─,─,─,
25日目,"987.900724","987.900724","987.900724","987.900724",,"2,409,458","1,552,296","2,286,806","2,907,146",,"83.113665","82.201846","78.647887","81.960085",,─,─,─,─,
26日目,"1,023.595743","1,023.595743","1,023.595743","1,023.595743",,"2,425,942","1,563,458","2,314,329","2,931,705",,"83.682266","82.792907","79.594454","82.652465",,─,─,─,─,
27日目,"1,059.506958","1,059.506958","1,059.506958","1,059.506958",,"2,445,324","1,582,840","2,346,040","2,937,263",,"84.350851","83.819292","80.685045","82.809153",,─,─,─,─,
28日目,"1,083.185164","1,083.185164","1,083.185164","1,083.185164",,"2,468,109","1,602,733","2,377,186","2,971,028",,"85.136806","84.872717","81.756214","83.761084",,─,─,─,─,
29日目,"1,120.603860","1,120.603860","1,120.603860","1,120.603860",,"2,489,084","1,615,672","2,425,540","2,988,199",,"85.860332","85.557910","83.419215","84.245170",,─,─,─,─,
30日目,"1,146.926698","1,146.926698","1,146.926698","1,146.926698",,"2,495,965","1,618,290","2,438,341","2,993,904",,"86.097695","85.696535","83.859482","84.406000",,─,─,─,─,
31日目,"1,172.000513","1,172.000513","1,172.000513","1,172.000513",,"2,500,228","1,622,553","2,442,450","2,999,185",,"86.244758","85.922301","84.000778","84.554901",,─,─,─,─,
