TVAL - CMリスト
期間:,2025年09月01日(月)~2025年12月31日(水)
時間帯:,05:00~28:59
エリア:,関東
期間内最新サンプルサイズ:,"個人全体 12,025,F1 1,028,F2 1,345,F3- 1,974,M1 850,M2 1,305,M3- 1,952,世帯 5,041"
企業名:,"キリンビール,サントリーホールディングス"
商品／ブランド名:,"キリングッドエール,ザ・プレミアム・モルツ"
CM秒数:,全CM
CM種別:,全CM
放送局:,"日本テレビ,テレビ朝日,TBS,テレビ東京,フジテレビ"
番組名:,指定なし
商品カテゴリ:,指定なし
視聴種別:,リアルタイム
利用データ:,確報
15秒換算:,する
単位:,%
レポート作成日時:,2026年05月12日(火) 17:13
データ提供元:,"Switch Media, Inc."

日付,曜日,祝日,開始時刻,エリア,集計対象都道府県,放送局,放送系列,番組,CM種別,企業,商品／ブランド,CM商品ID,CM商品名,商品カテゴリID,商品大カテゴリ,商品中カテゴリ,商品小カテゴリ,素材ID,秒数,CM内容,出演者,BGM,備考,視聴率：個人全体,視聴率：F1,視聴率：F2,視聴率：F3-,視聴率：M1,視聴率：M2,視聴率：M3-,視聴率：世帯
2025/12/30,火,,19:25:10,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,輝く！日本レコード大賞,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,12.777993,11.621166,14.842934,16.637386,9.421043,11.845886,13.483121,17.095548
2025/12/28,日,,26:25:12,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,ふぉ～ゆ～の王道テレビ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.469556,0.444077,0.50464,0.453718,0.85023,0.836547,0.360841,0.686527
2025/12/28,日,,26:02:25,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,ふぉ～ゆ～の王道テレビ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.636309,0.721006,0.609636,0.711824,0.953994,0.876311,0.822237,0.9489
2025/12/28,日,,21:54:31,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,音のソノリティ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,4.297454,4.987759,4.654409,6.000687,3.823991,4.655857,4.600274,5.909355
2025/12/28,日,,20:52:50,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,バナナマンのせっかくグルメ！！,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,5.300324,4.103183,4.271192,7.577364,3.502507,3.560751,6.21681,7.405587
2025/12/28,日,,18:55:31,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,博士は今日も嫉妬する,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,3.721638,3.178728,3.051899,5.110727,1.928605,4.100392,4.126971,5.558351
2025/12/28,日,,18:24:34,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,バナナマンのせっかくグルメ！！,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,4.509481,3.823884,3.982059,5.834251,3.132619,3.231119,5.231716,6.312908
2025/12/27,土,,26:12:13,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,日曜劇場「ラストマン−全盲の捜査官−」,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.928082,0.966946,0.622204,1.396937,0.725249,0.436755,0.926763,1.49008
2025/12/27,土,,24:08:42,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,サタデーナイトＪ,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,1.161126,0.167896,1.90455,1.326089,1.060334,1.358829,1.681841,1.772306
2025/12/27,土,,23:57:34,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,人生最高レストラン,TIME,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147228,30,左上ロゴ、女性、料理運ぶ、食卓、男女3人、ツリーと夜景、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品、会話続く,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,8.139135,4.049215,5.046486,12.829036,5.292792,5.863508,11.627528,12.805775
