TVAL - CMリスト
期間:,2025年09月01日(月)~2025年12月31日(水)
時間帯:,05:00~28:59
エリア:,関東
期間内最新サンプルサイズ:,"個人全体 12,025,F20s 672,F30s 752,F40s 949,F50s 1,378,M20s 529,M30s 683,M40s 943,M50s 1,322,世帯 5,041"
企業名:,"キリンビール,サントリーホールディングス"
商品／ブランド名:,"キリングッドエール,ザ・プレミアム・モルツ"
CM秒数:,全CM
CM種別:,全CM
放送局:,"日本テレビ,テレビ朝日,TBS,テレビ東京,フジテレビ"
番組名:,指定なし
商品カテゴリ:,指定なし
視聴種別:,リアルタイム
利用データ:,確報
15秒換算:,する
単位:,%
レポート作成日時:,2026年05月12日(火) 17:14
データ提供元:,"Switch Media, Inc."

日付,曜日,祝日,開始時刻,エリア,集計対象都道府県,放送局,放送系列,番組,CM種別,企業,商品／ブランド,CM商品ID,CM商品名,商品カテゴリID,商品大カテゴリ,商品中カテゴリ,商品小カテゴリ,素材ID,秒数,CM内容,出演者,BGM,備考,視聴率：個人全体,視聴率：F20s,視聴率：F30s,視聴率：F40s,視聴率：F50s,視聴率：M20s,視聴率：M30s,視聴率：M40s,視聴率：M50s,視聴率：世帯
2025/12/30,火,,19:25:10,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,輝く！日本レコード大賞,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,12.777993,11.464669,10.793654,16.933712,19.114762,9.458073,11.93633,10.702447,14.571398,17.095548
2025/12/28,日,,26:25:12,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,ふぉ～ゆ～の王道テレビ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.469556,0.485839,0.31071,0.604302,0.509486,0.987967,0.57863,0.959196,0.385854,0.686527
2025/12/28,日,,26:02:25,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,ふぉ～ゆ～の王道テレビ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.636309,0.803475,0.563225,0.628498,0.803109,1.157065,0.57863,1.014294,0.989241,0.9489
2025/12/28,日,,21:54:31,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,音のソノリティ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,4.297454,5.404417,4.152698,4.873473,6.668685,3.832544,4.649927,4.289715,5.18518,5.909355
2025/12/28,日,,20:52:50,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,バナナマンのせっかくグルメ！！,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,5.300324,4.780405,2.485964,5.123081,7.903244,4.342731,2.017335,4.22207,5.813342,7.405587
2025/12/28,日,,18:55:31,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,博士は今日も嫉妬する,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,3.721638,2.651362,3.26785,3.315434,5.4984,2.125323,2.520218,4.312994,3.966865,5.558351
2025/12/28,日,,18:24:34,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,バナナマンのせっかくグルメ！！,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,4.509481,4.453298,2.926032,4.296122,5.674583,3.899703,2.663401,3.121309,5.123135,6.312908
2025/12/27,土,,26:12:13,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,日曜劇場「ラストマン−全盲の捜査官−」,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.928082,1.091573,0.9129,0.432755,1.374197,0.596418,0.647605,0.479316,0.84842,1.49008
2025/12/27,土,,24:08:42,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,サタデーナイトＪ,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,1.161126,0.255481,0.708781,2.123057,1.29162,1.295974,0.589641,1.697771,2.016265,1.772306
2025/12/27,土,,23:57:34,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,人生最高レストラン,TIME,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147228,30,左上ロゴ、女性、料理運ぶ、食卓、男女3人、ツリーと夜景、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品、会話続く,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,8.139135,4.007095,3.883226,5.616413,11.949446,4.230012,5.786747,6.417085,10.628335,12.805775
